日付,始値,高値,安値,終値,5日平均,25日平均,75日平均,VWAP,出来高,5日平均,25日平均
20131203,      93.67,      93.97,      93.06,      93.63,      93.27,      93.25,      92.31,         --,             --,             --,             --
20131202,      93.27,      94.01,      93.23,      93.68,      93.03,      93.23,      92.24,         --,             --,             --,             --
20131129,      93.05,      93.58,      92.68,      93.30,      92.92,      93.22,      92.18,         --,             --,             --,             --
20131128,      92.72,      93.50,      92.67,      93.04,      92.82,      93.22,      92.13,         --,             --,             --,             --
20131127,      92.43,      92.97,      92.22,      92.72,      92.89,      93.24,      92.07,         --,             --,             --,             --
20131126,      93.12,      93.42,      92.19,      92.44,      93.02,      93.28,      92.03,         --,             --,             --,             --
20131125,      92.77,      93.34,      92.67,      93.10,      93.42,      93.39,      91.99,         --,             --,             --,             --
20131122,      93.39,      93.55,      92.49,      92.82,      93.55,      93.46,      91.93,         --,             --,             --,             --
20131121,      93.36,      93.74,      92.91,      93.39,      93.75,      93.52,      91.87,         --,             --,             --,             --
20131120,      94.43,      94.61,      93.05,      93.36,      93.71,      93.56,      91.80,         --,             --,             --,             --
20131119,      93.73,      94.47,      93.27,      94.45,      93.61,      93.60,      91.71,         --,             --,             --,             --
20131118,      93.81,      94.18,      93.41,      93.74,      93.25,      93.56,      91.62,         --,             --,             --,             --
20131115,      93.15,      94.00,      93.09,      93.85,      93.05,      93.55,      91.54,         --,             --,             --,             --
20131114,      92.85,      93.29,      92.69,      93.16,      92.88,      93.53,      91.47,         --,             --,             --,             --
20131113,      92.66,      92.79,      92.26,      92.85,      92.79,      93.51,      91.41,         --,             --,             --,             --
20131112,      92.77,      93.08,      92.39,      92.65,      93.00,      93.47,      91.34,         --,             --,             --,             --
20131111,      93.02,      93.22,      92.65,      92.78,      93.19,      93.42,      91.29,         --,             --,             --,             --
20131108,      92.72,      93.11,      92.44,      92.97,      93.39,      93.35,      91.25,         --,             --,             --,             --
20131107,      93.91,      94.09,      92.29,      92.72,      93.42,      93.31,      91.23,         --,             --,             --,             --
20131106,      93.60,      94.17,      93.34,      93.91,      93.48,      93.25,      91.22,         --,             --,             --,             --
20131105,      93.75,      93.86,      92.93,      93.60,      93.36,      93.15,      91.19,         --,             --,             --,             --
20131104,      93.14,      93.84,      93.00,      93.76,      93.25,      93.09,      91.17,         --,             --,             --,             --
20131101,      93.02,      93.37,      92.69,      93.11,      93.18,      92.99,      91.15,         --,             --,             --,             --
20131031,      93.36,      93.60,      92.80,      93.02,      93.22,      92.93,      91.14,         --,             --,             --,             --
20131030,      93.01,      93.51,      92.80,      93.35,      93.33,      92.91,      91.13,         --,             --,             --,             --
20131029,      93.43,      93.52,      92.62,      93.01,      93.41,      92.87,      91.11,         --,             --,             --,             --
20131028,      93.29,      93.97,      93.29,      93.43,      93.85,      92.86,      91.09,         --,             --,             --,             --
20131025,      93.59,      93.70,      92.95,      93.31,      94.11,      92.85,      91.05,         --,             --,             --,             --
20131024,      93.73,      94.35,      93.14,      93.59,      94.35,      92.84,      91.01,         --,             --,             --,             --
20131023,      95.24,      95.64,      93.39,      93.72,      94.49,      92.85,      90.97,         --,             --,             --,             --
20131022,      94.71,      95.67,      94.65,      95.24,      94.61,      92.83,      90.94,         --,             --,             --,             --
20131021,      94.46,      94.96,      94.37,      94.72,      94.27,      92.73,      90.91,         --,             --,             --,             --
20131018,      94.32,      94.66,      94.06,      94.52,      94.02,      92.63,      90.87,         --,             --,             --,             --
20131017,      94.33,      94.48,      93.74,      94.28,      93.77,      92.53,      90.83,         --,             --,             --,             --
20131016,      93.49,      94.39,      93.23,      94.33,      93.47,      92.44,      90.80,         --,             --,             --,             --
20131015,      93.49,      94.10,      93.21,      93.50,      92.98,      92.40,      90.75,         --,             --,             --,             --
20131014,      93.03,      93.66,      92.28,      93.50,      92.52,      92.39,      90.73,         --,             --,             --,             --
20131011,      92.74,      93.44,      92.40,      93.27,      92.05,      92.33,      90.71,         --,             --,             --,             --
20131010,      91.87,      93.01,      91.76,      92.76,      91.78,      92.24,      90.67,         --,             --,             --,             --
20131009,      91.22,      92.15,      91.12,      91.87,      91.50,      92.18,      90.65,         --,             --,             --,             --
20131008,      91.15,      92.20,      90.99,      91.23,      91.39,      92.16,      90.64,         --,             --,             --,             --
20131007,      91.86,      92.04,      90.94,      91.15,      91.55,      92.12,      90.63,         --,             --,             --,             --
20131004,      91.34,      92.02,      91.21,      91.91,      91.61,      92.04,      90.62,         --,             --,             --,             --
20131003,      91.32,      91.87,      90.88,      91.34,      91.53,      91.85,      90.59,         --,             --,             --,             --
20131002,      92.05,      92.22,      90.76,      91.32,      91.79,      91.71,      90.57,         --,             --,             --,             --
20131001,      91.43,      92.39,      91.35,      92.05,      91.96,      91.55,      90.55,         --,             --,             --,             --
20130930,      91.45,      91.89,      90.68,      91.45,      92.09,      91.35,      90.52,         --,             --,             --,             --
20130927,      92.64,      92.75,      91.33,      91.49,      92.44,      91.25,      90.51,         --,             --,             --,             --
20130926,      92.18,      93.01,      91.99,      92.64,      92.79,      91.16,      90.49,         --,             --,             --,             --
20130925,      92.73,      92.75,      91.88,      92.18,      93.03,      91.01,      90.48,         --,             --,             --,             --
20130924,      93.19,      93.38,      92.19,      92.71,      93.23,      90.82,      90.46,         --,             --,             --,             --
20130923,      92.81,      93.56,      92.65,      93.18,      93.23,      90.64,      90.43,         --,             --,             --,             --
20130920,      93.83,      94.12,      93.26,      93.27,      93.05,      90.47,      90.44,         --,             --,             --,             --
20130919,      93.20,      94.45,      93.00,      93.83,      92.77,      90.32,      90.43,         --,             --,             --,             --
20130918,      92.70,      93.36,      92.37,      93.20,      92.45,      90.13,      90.41,         --,             --,             --,             --
20130917,      92.26,      92.97,      92.09,      92.70,      92.43,      89.98,      90.43,         --,             --,             --,             --
20130916,      91.78,      92.81,      91.72,      92.29,      92.58,      89.85,      90.48,         --,             --,             --,             --
20130913,      92.23,      92.48,      91.63,      91.83,      92.49,      89.70,      90.55,         --,             --,             --,             --
20130912,      93.16,      93.25,      91.68,      92.23,      92.32,      89.57,      90.61,         --,             --,             --,             --
20130911,      93.42,      93.54,      92.89,      93.14,      92.13,      89.40,      90.67,         --,             --,             --,             --
