日付,始値,高値,安値,終値,5日平均,25日平均,75日平均,VWAP,出来高,5日平均,25日平均
20131203,     168.36,     169.14,     167.31,     167.99,     167.48,     161.57,     158.26,         --,             --,             --,             --
20131202,     167.57,     168.79,     167.52,     168.36,     166.73,     161.15,     158.05,         --,             --,             --,             --
20131129,     167.18,     167.90,     166.78,     167.59,     165.90,     160.72,     157.84,         --,             --,             --,             --
20131128,     166.36,     167.31,     165.91,     167.14,     165.24,     160.31,     157.63,         --,             --,             --,             --
20131127,     164.21,     166.45,     163.97,     166.36,     164.58,     159.93,     157.44,         --,             --,             --,             --
20131126,     164.21,     164.38,     163.61,     164.21,     163.52,     159.57,     157.25,         --,             --,             --,             --
20131125,     164.26,     165.28,     163.77,     164.21,     162.96,     159.38,     157.08,         --,             --,             --,             --
20131122,     163.84,     164.36,     163.45,     164.29,     162.33,     159.15,     156.89,         --,             --,             --,             --
20131121,     161.07,     163.86,     160.95,     163.85,     161.77,     158.89,     156.68,         --,             --,             --,             --
20131120,     161.39,     161.71,     160.80,     161.07,     161.13,     158.67,     156.50,         --,             --,             --,             --
20131119,     161.03,     161.61,     160.35,     161.40,     160.78,     158.53,     156.34,         --,             --,             --,             --
20131118,     161.48,     161.78,     160.68,     161.05,     160.19,     158.35,     156.19,         --,             --,             --,             --
20131115,     160.65,     161.65,     160.59,     161.48,     159.68,     158.21,     156.06,         --,             --,             --,             --
20131114,     159.31,     160.91,     159.00,     160.66,     159.12,     158.04,     155.92,         --,             --,             --,             --
20131113,     158.44,     159.43,     157.93,     159.34,     158.56,     157.88,     155.78,         --,             --,             --,             --
20131112,     158.49,     159.22,     157.96,     158.44,     158.42,     157.72,     155.64,         --,             --,             --,             --
20131111,     158.80,     158.84,     158.27,     158.52,     158.33,     157.61,     155.52,         --,             --,             --,             --
20131108,     157.87,     158.85,     157.44,     158.66,     158.11,     157.50,     155.41,         --,             --,             --,             --
20131107,     158.62,     159.27,     157.25,     157.87,     157.81,     157.39,     155.31,         --,             --,             --,             --
20131106,     158.02,     158.98,     157.86,     158.62,     157.78,     157.36,     155.24,         --,             --,             --,             --
20131105,     157.41,     158.24,     156.59,     158.02,     157.65,     157.33,     155.18,         --,             --,             --,             --
20131104,     157.10,     157.69,     157.04,     157.42,     157.54,     157.35,     155.11,         --,             --,             --,             --
20131101,     157.75,     157.81,     156.78,     157.12,     157.58,     157.41,     155.05,         --,             --,             --,             --
20131031,     157.97,     158.03,     157.22,     157.75,     157.65,     157.47,     155.00,         --,             --,             --,             --
20131030,     157.51,     158.18,     157.30,     157.94,     157.61,     157.51,     154.94,         --,             --,             --,             --
20131029,     157.62,     157.68,     156.71,     157.51,     157.49,     157.52,     154.85,         --,             --,             --,             --
20131028,     157.72,     158.31,     157.52,     157.60,     157.85,     157.54,     154.75,         --,             --,             --,             --
20131025,     157.58,     157.96,     157.07,     157.45,     158.03,     157.57,     154.66,         --,             --,             --,             --
20131024,     157.37,     158.20,     156.99,     157.58,     158.13,     157.63,     154.56,         --,             --,             --,             --
20131023,     159.30,     159.36,     156.81,     157.35,     158.26,     157.71,     154.46,         --,             --,             --,             --
20131022,     158.50,     159.53,     157.88,     159.30,     158.29,     157.74,     154.36,         --,             --,             --,             --
20131021,     157.93,     158.76,     157.87,     158.51,     157.83,     157.67,     154.24,         --,             --,             --,             --
20131018,     158.23,     158.68,     157.95,     157.93,     157.64,     157.62,     154.14,         --,             --,             --,             --
20131017,     157.50,     158.29,     157.00,     158.23,     157.50,     157.61,     154.04,         --,             --,             --,             --
20131016,     157.00,     158.03,     156.88,     157.50,     157.19,     157.58,     153.94,         --,             --,             --,             --
20131015,     157.50,     157.72,     156.79,     157.02,     156.75,     157.59,     153.87,         --,             --,             --,             --
20131014,     157.20,     157.63,     156.39,     157.52,     156.50,     157.63,     153.81,         --,             --,             --,             --
20131011,     156.69,     157.52,     156.41,     157.24,     156.12,     157.58,     153.74,         --,             --,             --,             --
20131010,     155.28,     157.00,     155.22,     156.69,     155.87,     157.49,     153.65,         --,             --,             --,             --
20131009,     155.77,     156.55,     154.67,     155.28,     155.95,     157.46,     153.56,         --,             --,             --,             --
20131008,     155.61,     156.65,     155.34,     155.77,     156.47,     157.48,     153.49,         --,             --,             --,             --
20131007,     156.00,     156.17,     155.36,     155.62,     157.04,     157.45,     153.42,         --,             --,             --,             --
20131004,     157.07,     157.36,     155.67,     156.01,     157.70,     157.40,     153.36,         --,             --,             --,             --
20131003,     157.88,     158.84,     156.66,     157.07,     158.20,     157.25,     153.29,         --,             --,             --,             --
20131002,     158.63,     158.80,     157.44,     157.88,     158.54,     157.06,     153.20,         --,             --,             --,             --
20131001,     158.91,     159.95,     158.39,     158.63,     158.61,     156.81,     153.09,         --,             --,             --,             --
