日付,始値,高値,安値,終値,5日平均,25日平均,75日平均,VWAP,出来高,5日平均,25日平均
20131203,     1219.5,     1223.7,     1219.1,     1219.4,1238.58    ,1279.42    ,1321.49    ,           ,          10640,6299.2         ,9724.88        
20131202,     1250.6,     1251.2,     1245.2,     1245.7,1245.14    ,1284.86    ,1323.4     ,           ,           9309,6435.4         ,9898.48        
20131129,     1237.8,     1245.6,     1233.7,     1242.2,1243.56    ,1289.03    ,1325.17    ,           ,           5229,8428.6         ,10063.36       
20131128,     1237.8,     1240.3,     1233.7,       1240,1243.76    ,1293.13    ,1326.83    ,           ,           1425,9363.4         ,10250.04       
20131127,     1241.6,     1246.2,       1241,     1245.6,1244.96    ,1296.98    ,1328.15    ,           ,           4893,12630          ,10473.92       
20131126,     1250.9,     1257.8,     1249.6,     1252.2,1250.64    ,1300.62    ,1329.13    ,           ,          11321,13223.8        ,10700.64       
20131125,     1241.6,     1243.9,     1236.5,     1237.8,1254.88    ,1303.11    ,1330.22    ,           ,          19275,12646          ,10552.56       
20131122,     1242.3,     1245.4,     1241.1,     1243.2,1264.66    ,1306.31    ,1331.44    ,           ,           9903,10296.2        ,10216.56       
20131121,     1241.8,     1248.5,     1241.6,       1246,1273.72    ,1309.23    ,1332.33    ,           ,          17758,10051.8        ,10321.28       
20131120,     1274.5,     1275.7,     1273.1,       1274,1281.46    ,1310.51    ,1332.96    ,           ,           7862,9262.2         ,10188.44       
20131119,       1275,     1275.4,     1270.1,     1273.4,1280.54    ,1310.76    ,1333.01    ,           ,           8432,9929.8         ,10428.96       
20131118,     1288.9,     1289.2,     1283.9,     1286.7,1281.4     ,1310.72    ,1333.26    ,           ,           7526,10830.4        ,10649          
20131115,     1286.8,     1290.8,     1285.3,     1288.5,1281.2     ,1310.1     ,1333.66    ,           ,           8681,11771.2        ,10973.8        
20131114,     1281.4,     1286.5,     1279.9,     1284.7,1285.32    ,1310.3     ,1333.72    ,           ,          13810,11672.2        ,11349.52       
20131113,     1265.3,     1270.4,       1265,     1269.4,1291.68    ,1311.03    ,1334.16    ,           ,          11200,10034.2        ,11253.52       
20131112,     1281.4,     1282.2,     1275.8,     1277.7,1300.52    ,1312.97    ,1335       ,           ,          12935,9484           ,11290.72       
20131111,     1288.3,     1288.8,       1283,     1285.7,1307.86    ,1314.86    ,1335.66    ,           ,          12230,8095.8         ,11431.08       
20131108,     1307.8,     1309.9,     1305.7,     1309.1,1313.26    ,1316.01    ,1336.22    ,           ,           8186,7750.8         ,11174.16       
