日付,始値,高値,安値,終値,5日平均,25日平均,75日平均,VWAP,出来高,5日平均,25日平均
20131203,   16004.72,   16004.72,   15859.68,   15914.62,16035.98   ,15847.39   ,15406.32   ,           ,      103912220,87773637       ,91894223.6     
20131202,   16087.12,      16098,   15986.23,   16008.77,16067.57   ,15833.56   ,15395.21   ,           ,       92587526,85799390.8     ,91448189.28    
20131129,   16105.16,   16174.51,   16074.14,   16086.41,16078.77   ,15816.02   ,15383.26   ,           ,       69185198,83481400.4     ,92140632.48    
20131127,   16073.37,   16107.99,   16057.34,   16097.33,16063.48   ,15792.93   ,15373.27   ,           ,       65728942,85444758.4     ,92942843.32    
20131126,   16070.93,   16120.25,   16070.93,    16072.8,16024.18   ,15765.57   ,15364.66   ,           ,      107454299,89168630.4     ,93938832.32    
20131125,   16072.09,   16109.63,   16055.46,   16072.54,16003.03   ,15741.37   ,15355.95   ,           ,       94040989,84591413.4     ,93921853.96    
20131122,   16008.71,   16068.78,   15976.27,   16064.77,15983.72   ,15714.15   ,15347.32   ,           ,       80997574,84754975.4     ,93898829.88    
20131121,   15908.07,   16016.04,   15908.07,   16009.99,15963.11   ,15687.55   ,15339.77   ,           ,       79001988,93846919.2     ,96925373.24    
20131120,    15971.2,   16016.85,   15865.37,   15900.82,15936.35   ,15662.01   ,15332.58   ,           ,       84348302,102817679      ,98104885.44    
20131119,   15974.06,   16025.85,   15943.78,   15967.03,15920.52   ,15640.94   ,15327.48   ,           ,       84568214,104438481.2    ,98444857.6     
20131118,   15962.72,   16030.28,   15942.17,   15976.02,15877.24   ,15608.97   ,15322.75   ,           ,       94858799,103376741.6    ,98719743.32    
20131115,   15876.16,   15962.98,    15875.9,    15961.7,15838.66   ,15581.98   ,15318.52   ,           ,      126457293,96176043.4     ,98182374.2     
20131114,   15806.22,   15884.99,   15798.74,   15876.22,15798.68   ,15553      ,15314.07   ,           ,      123855787,91283818       ,96553083.48    
20131113,    15739.5,   15822.98,      15672,   15821.63,15742.23   ,15522.99   ,15309.04   ,           ,       92452313,87283800.6     ,95860644.92    
20131112,   15773.15,   15793.38,   15708.29,   15750.67,15727.28   ,15482.25   ,15305.03   ,           ,       79259516,90633973       ,96290220.04    
20131111,   15759.28,   15791.45,   15737.22,    15783.1,15700.79   ,15443.28   ,15301.98   ,           ,       58855308,93160303.8     ,97227491.68    
20131108,   15591.54,   15764.29,   15579.35,   15761.78,15671.99   ,15409.41   ,15298.99   ,           ,      101996166,95628630       ,98058039.96    
20131107,   15751.31,   15797.68,   15586.33,   15593.98,15642.75   ,15381.84   ,15296.24   ,           ,      103855700,95595127.2     ,96982258.32    
20131106,   15628.72,   15750.29,   15628.72,   15746.88,15633.1    ,15357.94   ,15295.55   ,           ,      109203175,97634521.6     ,96479983.32    
20131105,   15631.22,   15651.89,   15522.18,   15618.22,15607.48   ,15333.39   ,15293.16   ,           ,       91891170,91627160.4     ,95555625       
20131104,    15621.2,    15658.9,   15588.48,   15639.12,15619.9    ,15316.33   ,15292.19   ,           ,       71196939,90569022.2     ,95178188.12    
20131101,   15558.01,    15649.4,   15543.25,   15615.55,15605.86   ,15295.95   ,15290.92   ,           ,      101828652,94881906.8     ,97223332.28    
