日付,始値,高値,安値,終値,5日平均,25日平均,75日平均,VWAP,出来高,5日平均,25日平均
20131203,    9398.19,    9404.17,    9223.13,     9223.4,9353.83    ,9170.04    ,8777.41    ,           ,      116913004,74148323       ,81069828.32    
20131202,    9412.95,    9424.83,    9384.12,    9401.96,9367.16    ,9161.99    ,8765.1     ,           ,       74603104,67786862.4     ,79450041.32    
20131129,    9378.55,    9424.62,    9376.58,     9405.3,9346.76    ,9145.05    ,8751.29    ,           ,       65826292,66854068.2     ,78922994.04    
20131128,     9359.5,    9399.63,    9358.77,    9387.37,9309.51    ,9128.27    ,8737.78    ,           ,       54326205,68137200.6     ,79138849.12    
20131127,    9308.96,    9363.48,    9295.56,    9351.13,9271.25    ,9112       ,8724.3     ,           ,       59073010,73030937.2     ,80033396.72    
20131126,    9297.65,    9316.62,     9287.3,    9290.07,9241.44    ,9094.75    ,8712.13    ,           ,       85105701,74888163.4     ,80868242.64    
20131125,    9258.22,    9323.44,    9252.73,    9299.95,9222.08    ,9081.05    ,8700.47    ,           ,       69939133,73302685.6     ,81482044.56    
20131122,    9210.69,    9230.16,    9168.92,    9219.04,9207.18    ,9063.74    ,8687.93    ,           ,       72241954,77081413.8     ,81679414.32    
20131121,    9127.89,    9210.67,    9117.09,    9196.08,9197.11    ,9049.58    ,8676.19    ,           ,       78794888,81989794       ,85448612.6     
20131120,    9175.64,    9236.78,    9162.84,    9202.07,9187.82    ,9034.22    ,8664.48    ,           ,       68359141,87975271.6     ,86104529.68    
20131119,    9197.47,    9217.36,    9179.25,    9193.29,9158.38    ,9019.97    ,8651.93    ,           ,       77178312,92797317.4     ,87063721.68    
20131118,    9154.23,    9253.68,    9140.51,    9225.43,9135.01    ,9004.42    ,8640.01    ,           ,       88832774,96753769       ,87729135.04    
20131115,     9157.6,    9188.47,    9133.51,    9168.69,9111.5     ,8984.35    ,8628.99    ,           ,       96783855,92315294       ,86741311.24    
20131114,    9137.48,    9151.35,    9101.29,    9149.66,9093.42    ,8966.6     ,8618.83    ,           ,      108722276,90315122       ,86565000.68    
20131113,    9056.71,    9074.56,    8981.09,    9054.83,9079.69    ,8948.04    ,8608.98    ,           ,       92469370,97215437.2     ,86429218.04    
20131112,    9102.99,    9124.24,    9073.93,    9076.48,9076.9     ,8926.52    ,8598.59    ,           ,       96960570,92501656.8     ,85858715.36    
20131111,    9081.58,    9124.24,    9064.61,    9107.86,9063.43    ,8905.7     ,8587.85    ,           ,       66640399,90527440       ,85077715.12    
20131108,    9036.59,    9079.05,    8986.49,    9078.28,9049.3     ,8885.04    ,8576.53    ,           ,       86782995,89392412.8     ,85906486.16    
20131107,    9038.47,    9193.98,    9026.09,    9081.03,9035.21    ,8866.83    ,8565.42    ,           ,      143223852,82882592.8     ,85835449.36    
20131106,    9030.47,    9065.96,    9021.84,    9040.87,9025.79    ,8847.51    ,8555       ,           ,       68900468,70799365.8     ,82101472.56    
20131105,    9036.18,    9041.97,    8962.42,    9009.11,9019.67    ,8831.05    ,8546.17    ,           ,       87089486,71013681       ,82419792.2     
20131104,    9035.91,    9053.93,    9019.31,    9037.23,9022.25    ,8818.25    ,8536.91    ,           ,       60965263,68879449.6     ,82272393.56    
20131101,    9032.29,     9048.1,     8992.9,    9007.83,9010.54    ,8800.54    ,8527.49    ,           ,       54233895,68971781.4     ,82986337.36    
20131031,    8985.48,    9037.41,    8976.37,    9033.92,9006.12    ,8786.68    ,8518.47    ,           ,       82807717,72369536.2     ,83544874.96    
