日付,始値,高値,安値,終値,5日平均,25日平均,75日平均,VWAP,出来高,5日平均,25日平均
20131203,     139.37,     140.01,     138.66,     139.27,     139.13,     135.38,     133.50,         --,             --,             --,             --
20131202,     139.17,     139.70,     138.98,     139.38,     138.77,     135.21,     133.38,         --,             --,             --,             --
20131129,     139.17,     139.70,     138.91,     139.16,     138.37,     135.02,     133.25,         --,             --,             --,             --
20131128,     138.71,     139.18,     138.26,     139.16,     138.00,     134.83,     133.13,         --,             --,             --,             --
20131127,     137.44,     138.79,     137.24,     138.70,     137.44,     134.63,     133.01,         --,             --,             --,             --
20131126,     137.41,     137.67,     137.07,     137.45,     136.58,     134.45,     132.89,         --,             --,             --,             --
20131125,     137.25,     137.99,     136.95,     137.39,     136.20,     134.36,     132.80,         --,             --,             --,             --
20131122,     136.36,     137.32,     135.96,     137.30,     135.72,     134.24,     132.68,         --,             --,             --,             --
20131121,     134.41,     136.40,     134.32,     136.36,     135.30,     134.09,     132.56,         --,             --,             --,             --
20131120,     135.54,     135.94,     134.06,     134.41,     134.94,     133.99,     132.47,         --,             --,             --,             --
20131119,     134.99,     135.73,     134.56,     135.56,     134.82,     133.96,     132.39,         --,             --,             --,             --
20131118,     135.20,     135.39,     134.70,     135.00,     134.48,     133.85,     132.32,         --,             --,             --,             --
20131115,     134.59,     135.31,     134.45,     135.19,     134.06,     133.79,     132.25,         --,             --,             --,             --
20131114,     133.79,     134.72,     133.66,     134.58,     133.51,     133.73,     132.20,         --,             --,             --,             --
20131113,     133.81,     133.97,     133.19,     133.79,     132.92,     133.65,     132.16,         --,             --,             --,             --
20131112,     132.92,     134.04,     132.84,     133.84,     132.81,     133.56,     132.11,         --,             --,             --,             --
20131111,     132.58,     133.14,     132.14,     132.91,     132.59,     133.47,     132.06,         --,             --,             --,             --
20131108,     131.60,     132.52,     131.26,     132.46,     132.65,     133.40,     132.02,         --,             --,             --,             --
20131107,     133.28,     133.52,     131.18,     131.60,     132.77,     133.39,     132.00,         --,             --,             --,             --
20131106,     132.71,     133.72,     132.51,     133.28,     133.17,     133.42,     132.00,         --,             --,             --,             --
20131105,     133.22,     133.33,     132.32,     132.71,     133.57,     133.38,     131.98,         --,             --,             --,             --
20131104,     133.06,     133.36,     132.81,     133.24,     134.01,     133.37,     131.97,         --,             --,             --,             --
20131101,     133.58,     133.68,     132.55,     133.06,     134.29,     133.35,     131.94,         --,             --,             --,             --
20131031,     135.29,     135.35,     133.31,     133.58,     134.57,     133.34,     131.93,         --,             --,             --,             --
20131030,     134.93,     135.45,     134.73,     135.28,     134.69,     133.34,     131.91,         --,             --,             --,             --
20131029,     134.60,     135.19,     134.21,     134.93,     134.46,     133.25,     131.84,         --,             --,             --,             --
20131028,     134.49,     134.99,     134.47,     134.60,     134.52,     133.17,     131.78,         --,             --,             --,             --
20131025,     134.22,     134.54,     133.83,     134.46,     134.46,     133.12,     131.73,         --,             --,             --,             --
20131024,     134.11,     134.78,     133.84,     134.22,     134.31,     133.12,     131.66,         --,             --,             --,             --
20131023,     135.23,     135.28,     133.55,     134.10,     134.23,     133.13,     131.60,         --,             --,             --,             --
