日付,始値,高値,安値,終値,5日平均,25日平均,75日平均,VWAP,出来高,5日平均,25日平均
20131203,    6595.33,    6595.48,    6531.34,    6532.43,6616.45    ,6688.7     ,6586.84    ,           ,      680375761,559705936.8    ,605615365.48   
20131202,    6650.57,    6657.41,     6595.2,    6595.33,6637.21    ,6698.39    ,6585.95    ,           ,      539055015,620706369.2    ,609651425.56   
20131129,    6654.47,    6681.57,    6648.53,    6650.57,6657.07    ,6703.61    ,6584.68    ,           ,      535923890,605502544.8    ,611699831.08   
20131128,    6649.47,    6679.51,    6642.57,    6654.47,6661.81    ,6706.44    ,6582.45    ,           ,      462672870,597458486.2    ,613028895.36   
20131127,    6636.22,    6664.14,    6635.71,    6649.47,6667.18    ,6708.79    ,6581.55    ,           ,      580502148,601681022.8    ,618574817.56   
20131126,    6694.62,    6696.95,    6636.22,    6636.22,6673.51    ,6709.79    ,6581.05    ,           ,      985377923,597190198.6    ,621112193.96   
20131125,     6674.3,    6709.08,     6674.3,    6694.62,6685.86    ,6712.17    ,6580.23    ,           ,      463035893,505778099.8    ,604697366.64   
20131122,    6681.33,    6711.03,    6661.04,     6674.3,6691.63    ,6710.55    ,6578.74    ,           ,      495703597,515880393.4    ,605974615.24   
20131121,    6681.08,    6697.69,    6643.47,    6681.33,6695.46    ,6708.49    ,6576.82    ,           ,      483785553,534286378      ,614547629.88   
20131120,    6698.01,    6711.42,     6661.7,    6681.08,6692.42    ,6704.28    ,6574.55    ,           ,      558048027,562091457.8    ,621979791.76   
20131119,    6723.46,    6723.46,    6677.85,    6698.01,6682.2     ,6699.9     ,6573.52    ,           ,      528317429,591230073.6    ,626208839.28   
20131118,    6693.44,     6732.1,    6671.63,    6723.46,6687.96    ,6693.94    ,6572.48    ,           ,      513547361,603270260.2    ,629230526.52   
20131115,    6666.13,    6703.12,    6665.45,    6693.44,6688.94    ,6685.31    ,6571.47    ,           ,      587733520,626236458.4    ,626087515.32   
20131114,       6630,    6696.16,       6630,    6666.13,6691.94    ,6677.06    ,6571.32    ,           ,      622810952,628278369.8    ,624404494.36   
20131113,    6726.79,    6726.81,    6613.98,       6630,6698.16    ,6667.64    ,6570.72    ,           ,      703741106,632001728.6    ,626101596.44   
20131112,    6728.37,    6728.37,    6693.26,    6726.79,6720.49    ,6655.95    ,6569.93    ,           ,      588518362,618571326.8    ,622202911.6    
20131111,    6708.42,    6744.77,    6702.01,    6728.37,6724.5     ,6641.51    ,6567.71    ,           ,      628378352,645601846      ,627393059.64   
20131108,    6697.22,     6713.9,    6643.86,    6708.42,6731.55    ,6629.87    ,6565.39    ,           ,      597943077,621955678.4    ,621624282.32   
20131107,    6741.69,    6779.18,    6679.99,    6697.22,6736.82    ,6619.69    ,6563.79    ,           ,      641427746,637459773      ,618913431.36   
20131106,    6746.84,    6768.16,    6735.64,    6741.69,6743.66    ,6609.76    ,6562.76    ,           ,      636589097,657426792.2    ,617995173.96   
20131105,    6763.62,    6773.86,    6708.52,    6746.84,6750.86    ,6597.59    ,6560.84    ,           ,      723670958,661379291.6    ,615538402.2    
20131104,    6734.74,    6780.11,    6734.56,    6763.62,6756.44    ,6586.12    ,6559.19    ,           ,      510147514,672900552.6    ,610554275.96   
