日付,始値,高値,安値,終値,5日平均,25日平均,75日平均,VWAP,出来高,5日平均,25日平均
20131202,    1981.25,    1994.55,    1981.25,    1994.55,1975.58    ,1948.39    ,1878.53    ,           ,              0,0              ,0              
20131129,    1970.22,     1975.5,     1969.8,     1975.2,1969.32    ,1947.15    ,1875.56    ,           ,              0,0              ,0              
20131128,    1970.05,     1972.5,    1966.54,    1970.49,1966.19    ,1946.69    ,1872.67    ,           ,              0,0              ,0              
20131127,    1971.12,    1973.89,    1966.15,    1966.53,1964.44    ,1945.94    ,1870.29    ,           ,              0,0              ,0              
20131126,    1962.71,    1971.15,    1959.93,    1971.15,1962.63    ,1945.49    ,1868.02    ,           ,              0,0              ,0              
20131125,    1964.26,    1966.62,    1962.69,    1963.26,1959.53    ,1944.58    ,1865.9     ,           ,              0,0              ,0              
20131122,    1964.69,    1968.15,     1955.5,    1959.53,1958.03    ,1943.21    ,1864.18    ,           ,              0,0              ,0              
20131121,    1957.18,    1964.25,    1957.14,    1961.75,1955.16    ,1941.42    ,1862.54    ,           ,              0,0              ,0              
20131120,    1956.58,    1959.38,     1953.5,    1957.49,1949.43    ,1939.04    ,1860.76    ,           ,              0,0              ,0              
20131119,    1958.43,    1959.64,    1951.37,    1955.66,1943.39    ,1937.02    ,1858.89    ,           ,              0,0              ,0              
20131118,    1952.96,    1958.15,    1951.28,    1955.74,1936.66    ,1934.8     ,1857.12    ,           ,              0,0              ,0              
20131115,    1936.78,    1945.32,    1936.78,    1945.19,1928.32    ,1931.78    ,1855.6     ,           ,              0,0              ,0              
20131114,    1928.61,    1936.95,    1927.86,     1933.1,1925.06    ,1928.95    ,1853.88    ,           ,              0,0              ,0              
20131113,    1921.05,    1927.52,    1920.21,     1927.3,1926.19    ,1926.09    ,1852.96    ,           ,              0,0              ,0              
20131112,    1910.79,     1924.3,    1909.87,       1922,1926.63    ,1923.51    ,1852.3     ,           ,              0,0              ,0              
20131111,    1931.42,    1931.68,    1913.08,    1914.05,1927.11    ,1922.03    ,1851.69    ,           ,              0,0              ,0              
20131108,    1932.93,    1933.84,    1921.51,    1928.85,1927.48    ,1921.25    ,1851.14    ,           ,              0,0              ,0              
20131107,    1931.88,    1943.79,    1931.83,    1938.75,1928.06    ,1919.7     ,1850.31    ,           ,              0,0              ,0              
20131106,    1922.02,    1931.84,    1921.23,     1929.5,1928.16    ,1918.19    ,1849.25    ,           ,              0,0              ,0              
20131105,    1919.29,    1924.92,    1917.49,    1924.44,1934.5     ,1917.15    ,1848.53    ,           ,              0,0              ,0              
