日付,始値,高値,安値,終値,5日平均,25日平均,75日平均,VWAP,出来高,5日平均,25日平均
20131202,   15659.74,   15703.02,   15579.54,   15655.07,15601.78   ,14873.68   ,14386.95   ,           ,         143189,151369.6       ,155177.8       
20131129,   15661.43,   15727.96,   15507.17,   15661.87,15594.59   ,14811.01   ,14363.11   ,           ,         158273,158003.6       ,155010.6       
20131128,   15622.19,   15729.09,   15605.73,   15727.12,15538.56   ,14763.99   ,14334.55   ,           ,         153986,168602.6       ,154475.08      
20131127,   15414.52,   15512.76,   15414.52,   15449.63,15466.26   ,14711.94   ,14306.39   ,           ,         144653,171443.2       ,154453.92      
20131126,   15501.95,   15577.97,   15460.97,   15515.24,15391.55   ,14682.49   ,14281.8    ,           ,         156747,171011.8       ,152636.16      
20131125,   15504.78,   15619.13,   15469.87,   15619.13,15313.81   ,14649.62   ,14259.26   ,           ,         176359,165707.6       ,150328.84      
20131122,   15513.45,   15579.39,   15307.44,   15381.72,15222.85   ,14607.32   ,14243.02   ,           ,         211268,166463.6       ,148076.6       
20131121,   15176.65,      15377,   15168.47,    15365.6,15179.69   ,14575.51   ,14228.04   ,           ,         168189,166730.6       ,145050.64      
20131120,   15176.35,   15209.67,   15069.98,   15076.08,15081.85   ,14539.57   ,14216.05   ,           ,         142496,171118.2       ,142970.68      
20131119,   15096.63,   15163.06,   15020.33,   15126.56,14980.07   ,14514.19   ,14201.78   ,           ,         130226,176659.6       ,142294.04      
20131118,   15253.24,   15273.61,   15106.82,    15164.3,14872.49   ,14485.32   ,14182.33   ,           ,         180139,182133.2       ,143881.92      
20131115,   15034.33,   15203.11,    14994.7,   15165.92,14693.6    ,14446.53   ,14165.07   ,           ,         212603,168810.4       ,142404.56      
20131114,   14665.75,   14966.43,   14665.75,   14876.41,14477.77   ,14401.41   ,14145.01   ,           ,         190127,149855.6       ,140384.24      
20131113,   14527.97,   14599.53,   14490.92,   14567.16,14348.18   ,14362.14   ,14135.06   ,           ,         170203,134155         ,139326.44      
20131112,   14289.87,   14588.68,   14278.21,   14588.68,14302.21   ,14333.58   ,14135      ,           ,         157594,128551.4       ,138362.2       
20131111,   14271.48,   14304.29,   14208.13,   14269.84,14229.55   ,14311.01   ,14136.9    ,           ,         113525,130454.8       ,137871.44      
20131108,   14026.17,   14122.28,   14026.17,    14086.8,14215.89   ,14306.51   ,14143.69   ,           ,         117829,141912.8       ,139142.08      
20131107,   14355.56,   14371.56,   14222.03,   14228.44,14264.12   ,14309.85   ,14151.3    ,           ,         111624,150036.2       ,141370         
20131106,   14155.34,   14407.69,   14130.86,   14337.31,14318.9    ,14320.11   ,14156.12   ,           ,         142185,159063.6       ,143023.04      
20131105,   14319.75,   14323.24,   14141.82,   14225.37,14316.64   ,14324.84   ,14162.4    ,           ,         167111,157752         ,143627.36      
20131101,   14403.07,   14411.05,   14126.41,   14201.57,14350.77   ,14346.23   ,14167.6    ,           ,         170815,146223.8       ,143427.88      
