日付,始値,高値,安値,終値,5日平均,25日平均,75日平均,VWAP,出来高,5日平均,25日平均
20131203,    4038.99,    4050.08,    4022.12,     4037.2,4040.97    ,3961.43    ,3820.07    ,           ,      457699949,381527906.8    ,436721296.08   
20131202,    4065.66,    4068.49,    4040.88,    4045.26,4032.44    ,3957.54    ,3814.28    ,           ,      404769991,373070496      ,439002058.04   
20131129,    4057.16,     4069.7,    4055.45,    4059.89,4021.72    ,3953.47    ,3808.42    ,           ,      239308343,373109647.8    ,441829815.6    
20131127,    4026.92,    4045.81,    4023.65,    4044.75,4003.57    ,3948.23    ,3803.21    ,           ,      337351965,406497746.8    ,451717055.88   
20131126,     3996.7,    4026.99,    3989.49,    4017.75,3978.88    ,3942.72    ,3798.41    ,           ,      468509286,419241667      ,456251849.48   
20131125,    4004.37,    4007.09,    3987.16,    3994.57,3961.64    ,3939.2     ,3793.77    ,           ,      415412895,406893787      ,455381281.08   
20131122,    3977.31,    3991.66,       3973,    3991.65,3952.54    ,3936.22    ,3789.31    ,           ,      404965750,410670730      ,455184707.52   
20131121,    3938.11,    3970.91,    3936.82,    3969.16,3951.4     ,3933.12    ,3785.01    ,           ,      406248838,428662583.4    ,460364196.12   
20131120,    3940.98,    3952.08,    3911.61,    3921.27,3952.12    ,3928.88    ,3780.81    ,           ,      401071566,436341404.4    ,463355594.24   
20131119,    3945.98,    3960.44,    3923.47,    3931.55,3960.98    ,3925.61    ,3777.4     ,           ,      406769886,443990446.4    ,463660804.84   
20131118,    3990.06,    3994.97,    3942.85,    3949.07,3958.65    ,3920.11    ,3774.22    ,           ,      434297610,448030069.8    ,464700848.44   
20131115,    3978.27,    3985.97,    3969.22,    3985.97,3952.8     ,3914.75    ,3770.76    ,           ,      494925017,438455155.2    ,461890436.28   
20131114,    3956.47,    3975.89,    3949.01,    3972.74,3939.45    ,3906.99    ,3766.63    ,           ,      444642943,433548804.8    ,458429863.52   
20131113,    3899.38,    3965.58,    3899.31,    3965.58,3916.37    ,3898.51    ,3762.01    ,           ,      439316776,454111545      ,458164005.72   
20131112,    3907.82,    3922.27,    3902.67,    3919.92,3909.64    ,3887       ,3757.35    ,           ,      426968003,458605859.8    ,461928054.08   
20131111,    3913.64,    3925.34,    3904.72,    3919.79,3913.63    ,3877.99    ,3753.08    ,           ,      386423037,464117227.8    ,464113310.76   
20131108,    3871.24,    3919.23,    3869.12,    3919.23,3916.99    ,3872.02    ,3748.99    ,           ,      470393265,472544994.8    ,462690496.6    
20131107,    3935.81,    3938.33,    3855.07,    3857.33,3917.55    ,3867.56    ,3744.8     ,           ,      547456644,475671984.8    ,457577057.12   
20131106,    3952.18,    3955.97,    3920.91,    3931.95,3930.03    ,3864.24    ,3741.1     ,           ,      461788350,483618594.2    ,452968751.28   
20131105,    3925.06,    3947.27,    3909.63,    3939.86,3929.76    ,3859.56    ,3736.4     ,           ,      454524843,483105212.8    ,450060400.48   
20131104,     3932.6,     3937.5,    3919.46,    3936.59,3932.26    ,3854.69    ,3731.87    ,           ,      428561872,483037489      ,448987441.04   
20131101,    3932.45,    3938.48,     3904.2,    3922.04,3932.96    ,3848.08    ,3727.22    ,           ,      486028215,500268914.2    ,452549968.84   
20131031,    3924.34,    3945.04,    3909.26,    3919.71,3937.23    ,3842.46    ,3723.07    ,           ,      587189691,498156057.2    ,448274486.76   
20131030,     3962.4,    3966.71,    3919.14,    3930.62,3939.08    ,3837.17    ,3718.94    ,           ,      459221443,478015989      ,440432501.68   
20131029,    3954.34,    3957.12,    3934.94,    3952.34,3934.37    ,3830.39    ,3714.51    ,           ,      454186224,476316061.4    ,437934987.92   
20131028,    3942.56,    3947.58,    3927.09,    3940.13,3929.81    ,3823.03    ,3709.92    ,           ,      514718998,474827831.8    ,436216234      
20131025,    3955.98,     3961.1,     3927.5,    3943.36,3925.8     ,3816.04    ,3705.38    ,           ,      475463930,453983743.4    ,432121637.12   
20131024,    3911.61,     3932.6,    3907.54,    3928.96,3919.98    ,3809.29    ,3700.52    ,           ,      486489350,465781550.4    ,451710885.16   
20131023,     3907.3,    3911.64,    3887.67,    3907.07,3906.82    ,3803.71    ,3695.07    ,           ,      450721805,464690438.6    ,447775497.28   
20131022,    3935.54,    3947.67,    3904.06,    3929.57,3893.29    ,3798.77    ,3689.7     ,           ,      446745076,456286443.8    ,446280229.32   
20131021,    3922.65,    3931.45,    3909.91,    3920.05,3866.18    ,3791.41    ,3683.77    ,           ,      410498556,453491623.8    ,441851624.56   
20131018,    3893.36,    3914.93,    3882.06,    3914.28,3845.23    ,3783.33    ,3677.9     ,           ,      534452965,444199373.8    ,439468931.2    
20131017,    3822.85,    3863.49,    3821.43,    3863.15,3820.74    ,3775.64    ,3671.62    ,           ,      481033791,418990920.4    ,430396940      
20131016,       3815,    3840.48,    3814.15,    3839.43,3800.26    ,3769.76    ,3665.89    ,           ,      408701831,410383461.8    ,425186715.72   
20131015,    3810.72,    3824.44,    3789.68,    3794.01,3767.93    ,3765.18    ,3660.49    ,           ,      432770976,435326692.6    ,424134064.16   
20131014,    3767.49,    3816.41,    3766.28,    3815.28,3748.1     ,3762.58    ,3655.28    ,           ,      364037306,445092381.4    ,422966121.08   
20131011,    3753.22,    3794.37,    3751.38,    3791.87,3739.12    ,3758.22    ,3649.77    ,           ,      408410698,442455456.8    ,422486379.24   
20131010,    3721.58,    3764.72,    3721.11,    3760.75,3742.29    ,3752.94    ,3644.23    ,           ,      437996498,429284772.8    ,421770777.28   
20131009,    3701.62,    3702.15,    3650.03,    3677.78,3745.01    ,3748.86    ,3638.72    ,           ,      533417985,428135272.8    ,417749834.16   
20131008,    3772.22,    3772.49,    3694.15,    3694.83,3772.46    ,3747.71    ,3633.96    ,           ,      481599420,399267591.8    ,413561932.88   
20131007,    3776.64,    3800.08,    3769.75,    3770.38,3797.09    ,3744.42    ,3629.46    ,           ,      350852683,388487879.2    ,410747466      
20131004,    3774.72,    3812.86,     3773.4,    3807.75,3797.31    ,3737.2     ,3624.05    ,           ,      342557278,421842356      ,411322705.56   
20131003,     3809.9,    3816.96,    3753.17,    3774.34,3792.08    ,3729.71    ,3619.19    ,           ,      432248998,429159133      ,409798997.8    
20131002,    3793.11,    3819.28,    3788.45,    3815.02,3794.7     ,3722.47    ,3615.3     ,           ,      389079580,420937346.2    ,405094949      
20131001,    3774.18,    3817.98,    3774.18,    3817.98,3783.91    ,3713.01    ,3610.46    ,           ,      427700857,422478150      ,404376060.4    
20130930,     3737.6,    3780.97,    3734.74,    3771.48,3773.97    ,3706.59    ,3605.2     ,           ,      517625067,419181453.8    ,400079397.48   
20130927,     3767.9,    3788.35,    3762.67,    3781.59,3772.73    ,3702.04    ,3600.85    ,           ,      379141163,398127255.6    ,393094159.32   
20130926,    3774.95,    3795.72,     3772.8,    3787.43,3771.36    ,3696.33    ,3595.77    ,           ,      391140064,515338049.2    ,388242606.84   
20130925,    3772.59,    3782.92,    3754.94,     3761.1,3771.75    ,3688.82    ,3591.1     ,           ,      396783599,514730967      ,386207869.96   
20130924,     3771.6,    3789.85,    3753.04,    3768.25,3776.25    ,3682.92    ,3587.26    ,           ,      411217376,518042268.4    ,382241598.84   
20130923,    3786.84,    3787.14,    3745.54,    3765.29,3771.74    ,3675.75    ,3583.28    ,           ,      412354076,503004784.6    ,378844231.2    
20130920,    3796.28,    3798.76,    3774.12,    3774.73,3762.26    ,3669.25    ,3578.73    ,           ,      965195131,490720213.8    ,378446651.44   
20130919,     3794.7,    3798.16,    3781.59,    3789.38,3751.75    ,3662.51    ,3573.75    ,           ,      388104653,359211824.6    ,355365799.32   
20130918,    3751.29,     3790.7,    3737.69,    3783.64,3737.06    ,3657.71    ,3569.16    ,           ,      413340106,351746530.8    ,354296641.24   
20130917,    3725.31,    3747.08,    3724.26,     3745.7,3725.34    ,3653.74    ,3564.92    ,           ,      336029957,345555618      ,352224607.12   
20130916,       3755,    3756.24,    3712.47,    3717.85,3722       ,3650.71    ,3561.05    ,           ,      350931222,359064106.4    ,351709432      
20130913,    3723.27,    3724.73,    3701.88,    3722.18,3719.67    ,3648.4     ,3558.03    ,           ,      307653185,359286614      ,351612632.48   
20130912,    3724.53,    3731.84,    3713.08,    3715.97,3707.23    ,3646.28    ,3554.64    ,           ,      350778184,375860106.8    ,354285993.8    
20130911,    3710.79,    3726.59,    3704.22,    3725.01,3695.8     ,3643.8     ,3551.61    ,           ,      382385542,373199054      ,355343403.72   
20130910,    3724.67,    3729.38,    3716.44,    3729.02,3680.6     ,3641.43    ,3548.07    ,           ,      403572399,382466036.2    ,353856947.24   
20130909,    3675.12,    3708.42,    3675.12,    3706.18,3657.32    ,3639.98    ,3544.47    ,           ,      352043760,383999106      ,349716251.32   
20130906,    3672.82,    3677.07,    3618.77,    3660.01,3634.06    ,3639.32    ,3541.23    ,           ,      390520649,386637088.4    ,350121117.6    
