日付,始値,高値,安値,終値,5日平均,25日平均,75日平均,VWAP,出来高,5日平均,25日平均
20131202,      15680,      15730,      15580,      15690,15626      ,14884.8    ,14386.8    ,          0,          59514,58007.8        ,72717.84       
20131129,      15690,      15750,      15510,      15740,15610      ,14822      ,14362.26   ,          0,          64901,61222.6        ,74099.84       
20131128,      15500,      15740,      15490,      15700,15548      ,14771.6    ,14332.53   ,          0,          63376,68611          ,75474.08       
20131127,      15520,      15530,      15390,      15480,15492      ,14720.8    ,14305.46   ,          0,          54692,75134.6        ,76721.04       
20131126,      15600,      15630,      15460,      15520,15416      ,14690      ,14280.66   ,          0,          47556,77324.8        ,76204.24       
20131125,      15430,      15640,      15370,      15610,15342      ,14657.6    ,14258.53   ,          0,          75588,82425.8        ,76320.24       
20131122,      15460,      15600,      15310,      15430,15256      ,14616.8    ,14242.4    ,          0,         101843,86971.6        ,75461.16       
20131121,      15130,      15440,      15060,      15420,15204      ,14583.2    ,14226.4    ,          0,          95994,89617.2        ,74166.84       
20131120,      15130,      15270,      15070,      15100,15084      ,14545.2    ,14213.86   ,          0,          65643,94935.4        ,72185.32       
20131119,      15170,      15280,      15020,      15150,14984      ,14519.6    ,14199.86   ,          0,          73061,93923          ,71044          
20131118,      15170,      15380,      15110,      15180,14864      ,14490      ,14179.2    ,          0,          98317,94388.4        ,71588.28       
20131115,      14870,      15230,      14840,      15170,14684      ,14450.8    ,14162      ,          0,         115071,88411.2        ,70285.56       
20131114,      14630,      14990,      14540,      14820,14468      ,14406.8    ,14141.06   ,          0,         122585,80487.8        ,68097.12       
20131113,      14570,      14610,      14490,      14600,14354      ,14371.2    ,14131.86   ,          0,          60581,67990.6        ,65973.88       
20131112,      14290,      14600,      14270,      14550,14304      ,14341.6    ,14130.8    ,          0,          75388,69261.2        ,66182.88       
20131111,      14080,      14320,      14040,      14280,14234      ,14321.2    ,14133.2    ,          0,          68431,66237.2        ,66211.52       
20131108,      14250,      14410,      14030,      14090,14216      ,14315.6    ,14139.86   ,          0,          75454,68102.4        ,66495.84       
20131107,      14350,      14420,      14220,      14250,14268      ,14319.6    ,14147.86   ,          0,          60099,64384.4        ,68579.56       
20131106,      14180,      14420,      14120,      14350,14326      ,14330      ,14153.2    ,          0,          66934,63327.2        ,69280.6        
20131105,      14200,      14340,      14140,      14200,14324      ,14335.6    ,14159.2    ,          0,          60268,61001          ,69487.88       
20131101,      14360,      14450,      14130,      14190,14358      ,14357.2    ,14164.53   ,          0,          77757,62530          ,69945          
20131031,      14550,      14590,      14320,      14350,14344      ,14382.8    ,14170      ,          0,          56864,65791.4        ,70490.96       
20131030,      14350,      14540,      14330,      14540,14370      ,14391.2    ,14171.6    ,          0,          54813,74270          ,70658.4        
20131029,      14360,      14410,      14220,      14340,14348      ,14396.8    ,14170.66   ,          0,          55303,82217.4        ,70386.32       
20131028,      14110,      14410,      14100,      14370,14422      ,14410.4    ,14171.86   ,          0,          67913,79511.2        ,71097.92       
20131025,      14450,      14460,      14090,      14120,14490      ,14422.8    ,14173.06   ,          0,          94064,76019.8        ,71407.96       
20131024,      14410,      14510,      14260,      14480,14584      ,14435.2    ,14172.8    ,          0,          99257,68029.2        ,70952.52       
20131023,      14710,      14840,      14410,      14430,14606      ,14427.2    ,14170.93   ,          0,          94550,62074.8        ,68734.72       
20131022,      14680,      14770,      14650,      14710,14614      ,14422.8    ,14165.06   ,          0,          41772,52456          ,67787          
20131021,      14570,      14750,      14530,      14710,14564      ,14404.8    ,14155.86   ,          0,          50456,51523.6        ,68652.32       
20131018,      14560,      14630,      14450,      14590,14504      ,14394      ,14148.13   ,          0,          54111,58766          ,72010.2        
20131017,      14470,      14690,      14450,      14590,14426      ,14386.4    ,14138.53   ,          0,          69485,61093.6        ,74319.4        
20131016,      14450,      14520,      14420,      14470,14322      ,14371.6    ,14125.86   ,          0,          46456,59268.6        ,75646.68       
20131015,      14410,      14530,      14370,      14460,14214      ,14346.8    ,14109.86   ,          0,          37110,63878.2        ,77473.72       
20131011,      14190,      14470,      14180,      14410,14094      ,14328.4    ,14087.46   ,          0,          86668,69617.4        ,78957.24       
20131010,      14060,      14210,      13950,      14200,14020      ,14316      ,14067.86   ,          0,          65749,67504.6        ,78236.12       
