日付,始値,高値,安値,終値,5日平均,25日平均,75日平均,VWAP,出来高,5日平均,25日平均
20131202,    1260.97,    1264.16,    1255.02,    1258.94,1255.74    ,1220.3     ,1188.21    ,           ,         230600,232332.4       ,258336.04      
20131129,    1257.27,    1260.69,    1248.58,    1258.66,1255.88    ,1217.07    ,1186.85    ,           ,         238141,236843.6       ,258757.6       
20131128,    1258.01,    1261.04,     1254.5,    1261.04,1253.86    ,1214.86    ,1185.2     ,           ,         227616,249993.2       ,258476.96      
20131127,    1247.21,    1253.34,    1245.86,    1247.08,1250.91    ,1212.26    ,1183.6     ,           ,         216709,254889.8       ,260281.64      
20131126,    1252.49,    1257.25,    1250.59,    1253.02,1248.18    ,1210.95    ,1182.17    ,           ,         248596,255112.2       ,260303.16      
20131125,    1256.25,    1259.61,    1252.89,    1259.61,1244.95    ,1209.32    ,1180.86    ,           ,         253156,250137         ,257363.04      
20131122,    1256.51,    1258.21,    1242.46,    1248.57,1241.36    ,1207.16    ,1179.98    ,           ,         303889,256316         ,255474.36      
20131121,    1237.43,    1247.09,    1236.88,    1246.31,1239.46    ,1205.47    ,1179.13    ,           ,         252099,259696.4       ,251664.12      
20131120,    1239.61,    1241.93,    1230.95,    1233.43,1233.91    ,1203.49    ,1178.46    ,           ,         217821,269644.2       ,248691.92      
20131119,    1237.39,     1240.2,    1232.65,    1236.86,1228.06    ,1202.05    ,1177.53    ,           ,         223720,279629.8       ,248001         
20131118,    1246.49,    1247.82,    1237.72,    1241.67,1221.77    ,1200.46    ,1176.13    ,           ,         284051,286394         ,248961.28      
20131115,     1229.2,    1241.38,    1228.52,    1239.04,1210.56    ,1197.91    ,1174.89    ,           ,         320791,273550.4       ,246603.12      
20131114,    1210.63,       1224,    1208.89,    1218.55,1198.04    ,1195.03    ,1173.41    ,           ,         301838,254051.2       ,243443.04      
20131113,    1204.09,    1209.93,    1199.67,    1204.19,1191.28    ,1192.29    ,1172.72    ,           ,         267749,238765.4       ,241956.84      
20131112,    1185.87,    1205.41,    1185.73,    1205.41,1188.87    ,1190.03    ,1172.7     ,           ,         257541,236858.4       ,240572.84      
20131111,    1190.36,    1191.91,    1180.94,    1185.65,1184.3     ,1188.36    ,1172.89    ,           ,         219833,237858.4       ,239750.24      
20131108,    1171.38,    1178.71,     1171.2,    1176.42,1183.78    ,1187.9     ,1173.39    ,           ,         223295,248433.2       ,240650.92      
20131107,    1193.41,    1193.48,    1183.98,    1184.73,1187.35    ,1187.85    ,1173.92    ,           ,         225409,260092         ,243325.28      
20131106,    1179.89,    1198.07,    1178.81,    1192.16,1191.3     ,1188.19    ,1174.28    ,           ,         258214,284625.4       ,245486.68      
20131105,    1192.04,     1192.3,    1176.45,    1182.58,1191.57    ,1188.27    ,1174.68    ,           ,         262541,291045.8       ,245994.24      
20131101,    1199.68,    1200.25,    1177.81,    1183.03,1194.73    ,1189.67    ,1175.09    ,           ,         272707,284958.4       ,247760.76      
20131031,    1204.65,    1207.49,    1193.92,    1194.26,1193.78    ,1191.17    ,1175.46    ,           ,         281589,278644.8       ,249043.8       
20131030,    1202.81,     1207.6,    1200.68,     1204.5,1195.59    ,1191.84    ,1175.56    ,           ,         348076,268552         ,250231.96      
20131029,    1190.35,     1198.9,    1188.16,     1193.5,1193.89    ,1192.26    ,1175.43    ,           ,         290316,253483.4       ,247644.48      
20131028,     1190.2,    1198.69,    1185.13,    1198.36,1198.08    ,1193.28    ,1175.45    ,           ,         232104,238869.6       ,249822.96      
20131025,    1201.44,    1201.44,    1178.28,    1178.28,1200.88    ,1193.96    ,1175.43    ,           ,         241139,227467.4       ,255534.68      
20131024,    1191.14,    1204.42,    1186.42,    1203.35,1206.33    ,1194.55    ,1175.36    ,           ,         231125,220427.4       ,258247.12      
20131023,    1219.32,    1222.56,     1195.9,    1195.98,1206.91    ,1193.68    ,1175.16    ,           ,         272733,215929         ,263551.2       
20131022,    1213.18,    1215.87,    1210.81,    1214.44,1207.07    ,1193.26    ,1174.83    ,           ,         217247,196941.2       ,267288.28      
20131021,    1210.26,     1215.9,    1207.36,    1212.36,1203.67    ,1192.05    ,1174.28    ,           ,         175093,193601.4       ,268979.96      
20131018,    1207.24,    1209.38,    1201.21,    1205.52,1200.63    ,1191.13    ,1173.74    ,           ,         205939,208128.2       ,275748.88      
20131017,    1209.65,    1212.62,    1199.01,    1206.25,1195.12    ,1190.52    ,1173.01    ,           ,         208633,211959.8       ,284434.32      
20131016,    1196.92,    1200.35,    1193.17,    1196.78,1187.25    ,1189.19    ,1172.05    ,           ,         177794,218591         ,287839.24      
