日付,始値,高値,安値,終値,5日平均,25日平均,75日平均,VWAP,出来高,5日平均,25日平均
20131203,      93.86,      94.24,      93.86,      94.02,93.01      ,94.22      ,100.84     ,           ,           3838,6184.6         ,4564.56        
20131202,      92.71,      93.31,      92.64,      93.21,93.09      ,94.4       ,101        ,           ,           6599,6062.6         ,4540.44        
20131129,      92.33,      92.43,      92.06,       92.2,93.21      ,94.57      ,101.19     ,           ,          15323,7201.8         ,4441.88        
20131128,      92.33,      92.43,      92.08,      92.19,93.8       ,94.78      ,101.4      ,           ,           1989,4721           ,4012.44        
20131127,       93.5,       93.6,      93.36,      93.44,94.08      ,94.99      ,101.6      ,           ,           3174,4890.6         ,4171.56        
20131126,      94.21,      94.47,      94.17,      94.41,94.12      ,95.16      ,101.77     ,           ,           3228,4404           ,4355.28        
20131125,      94.15,      94.19,      93.64,      93.85,93.8       ,95.36      ,101.93     ,           ,          12295,4111.4         ,4462.12        
20131122,      95.29,      95.31,      95.02,      95.11,93.72      ,95.64      ,102.09     ,           ,           2919,2293.4         ,4025.48        
20131121,      93.73,      93.89,      93.51,      93.61,93.54      ,95.88      ,102.21     ,           ,           2837,2376.6         ,4003.52        
20131120,      93.33,      93.72,      93.33,      93.62,93.61      ,96.22      ,102.36     ,           ,            741,2568.8         ,3997.68        
20131119,         93,      93.13,      92.82,      92.82,93.51      ,96.51      ,102.52     ,           ,           1765,3456.2         ,4146           
20131118,      93.78,      93.84,      93.41,      93.48,93.92      ,96.89      ,102.7      ,           ,           3205,3658.8         ,4185.44        
20131115,      93.89,       94.3,      93.84,      94.19,94.17      ,97.23      ,102.88     ,           ,           3335,3837.8         ,4264.84        
20131114,       93.5,         94,      93.48,      93.96,94.21      ,97.57      ,103.07     ,           ,           3798,4038.2         ,4306.52        
20131113,      93.07,       93.3,      92.93,      93.14,94.37      ,97.88      ,103.22     ,           ,           5178,4010.2         ,4373.68        
20131112,         95,      95.04,       94.8,      94.85,94.52      ,98.29      ,103.36     ,           ,           2778,4048.6         ,4313.24        
20131111,      94.45,      94.87,      94.44,      94.75,94.47      ,98.62      ,103.48     ,           ,           4100,4339           ,4320.36        
20131108,      94.36,      94.66,      94.33,      94.36,94.43      ,98.96      ,103.61     ,           ,           4337,4416.4         ,4300.32        
20131107,      94.91,         95,      94.73,      94.78,94.86      ,99.31      ,103.76     ,           ,           3658,4242.6         ,4262.28        
20131106,      93.74,      93.99,      93.65,      93.86,95.2       ,99.67      ,103.89     ,           ,           5370,4310.6         ,4261.96        
20131105,      94.47,       94.9,      94.46,      94.61,95.97      ,99.98      ,104.07     ,           ,           4230,4729.4         ,4172.44        
20131104,      94.52,      94.73,      94.45,      94.57,96.73      ,100.28     ,104.24     ,           ,           4487,4530.4         ,4228.48        
20131101,      96.32,      96.58,      96.23,      96.49,97.33      ,100.56     ,104.42     ,           ,           3468,4460           ,4589.2         
20131031,      96.62,       96.7,      96.43,      96.49,97.51      ,100.8      ,104.57     ,           ,           3998,4683.8         ,4613.32        
20131030,      97.77,      97.77,       97.4,       97.7,97.7       ,101.04     ,104.7      ,           ,           7464,5077.6         ,4644.96        
20131029,      98.54,      98.57,      98.22,      98.44,97.71      ,101.27     ,104.81     ,           ,           3235,5138.2         ,4522.28        
20131028,      97.88,      97.88,      97.51,      97.56,97.91      ,101.47     ,104.91     ,           ,           4135,5671           ,4547.4         
20131025,      97.19,      97.51,      97.06,      97.37,98.55      ,101.76     ,105.02     ,           ,           4587,5119.8         ,4636.76        
20131024,       97.1,       97.6,      97.08,      97.45,99.27      ,102.09     ,105.12     ,           ,           5967,4676.4         ,4653.44        
20131023,      98.12,      98.29,      97.72,      97.74,100.2      ,102.54     ,105.25     ,           ,           7767,4021.2         ,4517.24        
