日付,始値,高値,安値,終値,5日平均,25日平均,75日平均,VWAP,出来高,5日平均,25日平均
20131204,     144.86,     144.86,     144.82,     144.85,144.98     ,144.94     ,144.44     ,           ,               ,23141          ,24702.4        
20131203,     145.03,     145.04,     144.83,     144.84,145.02     ,144.94     ,144.43     ,   144.9167,          35797,28681          ,25286.96       
20131202,     145.09,     145.15,     145.03,     145.03,145.05     ,144.94     ,144.42     ,   145.0937,          23604,26742          ,24237.6        
20131129,     145.09,     145.18,     145.01,      145.1,144.98     ,144.94     ,144.41     ,   145.0855,          32659,26193.4        ,24211.56       
20131128,     145.06,     145.17,     144.97,     145.09,144.92     ,144.93     ,144.39     ,   145.0751,          23645,26068.2        ,23827.56       
20131127,     144.95,     145.11,     144.92,     145.08,144.85     ,144.92     ,144.38     ,   145.0519,          27700,26138          ,23790.2        
20131126,     144.71,     144.98,     144.67,     144.95,144.82     ,144.91     ,144.37     ,   144.8826,          26102,24707.4        ,23411.4        
20131125,      144.8,     144.85,     144.66,     144.71,144.82     ,144.9      ,144.35     ,   144.7563,          20861,25120.8        ,22980.44       
20131122,     144.74,     144.85,     144.56,     144.77,144.83     ,144.9      ,144.34     ,   144.7055,          32033,28688.8        ,23076.8        
20131121,     144.93,     144.95,     144.75,     144.77,144.81     ,144.89     ,144.32     ,   144.8161,          23994,28709.4        ,22620.4        
20131120,     144.98,     144.98,     144.86,     144.91,144.86     ,144.88     ,144.31     ,   144.9206,          20547,29477.8        ,22625.88       
20131119,     144.77,        145,     144.74,     144.96,144.86     ,144.85     ,144.29     ,   144.8532,          28169,29926.8        ,22630.16       
20131118,     144.69,     144.83,     144.42,     144.77,144.86     ,144.83     ,144.27     ,   144.6757,          38701,28539          ,22426.64       
20131115,     145.01,     145.03,     144.65,     144.66,144.91     ,144.82     ,144.26     ,   144.9157,          32136,24300          ,21773.56       
20131114,      144.9,     145.09,     144.89,     145.02,145        ,144.8      ,144.24     ,    145.028,          27836,23577.4        ,21272.56       
20131113,     144.95,     144.98,     144.86,     144.90,145.01     ,144.78     ,144.22     ,   145.0141,          22792,23070.8        ,20868.32       
20131112,     145.04,     145.05,     144.92,     144.95,145        ,144.76     ,144.2      ,   145.0141,          21230,24555.6        ,20672.04       
